date;latitude;longitude;descr_cat_veh;descr_agglo;descr_athmo;descr_lum;descr_etat_surf;description_intersection;age;place;descr_dispo_secu;descr_grav;descr_motif_traj;descr_type_col
20090114084500;47.4833;-1.23333;14;1;5;2;7;1;40;1;1;1;4;1
20090106113000;45.6;5.63333;10;1;4;1;5;1;50;1;1;1;4;1
20090106170000;45.6;5.63333;7;1;4;1;5;1;49;1;1;1;4;1
20090131200000;42.7667;2.98333;7;1;3;3;2;1;52;1;1;1;5;1
20090218174500;45.9667;0.066667;7;1;1;1;1;2;58;1;1;1;4;1
20090121091500;48.2833;-4.05;10;1;1;1;7;1;40;1;1;1;4;1
20090122130000;48.5659;3.39723;7;1;1;1;1;6;31;1;1;1;1;1
20090102141500;48.1667;-3.78333;7;1;9;1;7;1;60;1;1;1;4;1
20090106181500;43.75;-0.35;7;1;4;3;5;1;42;1;1;1;4;1
20090123220000;43.6167;-0.633333;7;1;9;3;7;1;38;1;1;1;1;1
20090123220000;43.6167;-0.633333;7;1;9;3;7;1;59;1;1;1;5;1
20090107083000;49.0833;0.95;10;1;4;2;7;1;36;1;1;1;4;1
20090109163000;49.2667;1.38333;38;1;4;1;5;1;31;1;1;1;4;1
20090109200000;48.9833;1.19167;7;1;9;3;1;1;32;1;1;1;1;1
20090111120000;49.1;0.616667;7;1;1;1;1;1;28;1;1;1;5;1
20090121183000;49.2;1.25;7;1;1;3;1;3;37;1;1;1;2;1
20090112144500;44.4833;2.4;10;1;7;1;7;1;60;1;1;1;1;1
20090115081500;48.0167;2.9;7;1;9;1;7;1;47;1;1;1;1;1
20090131074500;44.5167;3.91667;7;1;5;2;7;1;31;1;1;1;5;1
20090109164500;49.5833;2.08333;38;1;4;1;7;1;39;1;1;1;4;1
20090108090000;49.3833;2.08333;15;1;4;1;7;1;38;1;1;1;4;1
20090105204500;44.1167;3.83333;7;1;1;3;1;1;22;1;1;1;5;1
20090105140000;48.0625;7.48001;7;1;9;1;7;1;49;1;1;1;5;1
20090112171500;47.8833;7.01667;7;1;1;1;1;1;24;1;1;1;5;1
20090110143000;47.6333;7.1;7;1;1;1;1;1;43;1;1;1;5;1
20090114090000;47.9333;-1.6;7;1;5;2;7;1;27;1;1;1;1;1
20090127101500;47.8167;-1.95;7;1;5;1;2;1;79;1;1;1;3;1
20090127101500;47.8167;-1.95;10;1;5;1;2;1;27;1;1;1;5;1
20090128114500;47.7;-2.0;2;1;2;1;2;1;16;1;2;1;5;1
20090128114500;47.7;-2.0;14;1;2;1;2;1;33;1;1;1;4;1
20090105154500;47.55;-0.416667;7;1;4;1;5;1;33;1;1;1;5;1
20090123103000;47.65;-0.433333;7;1;7;1;2;1;35;1;1;1;3;1
20090220210000;47.35;-0.85;7;1;1;3;1;1;23;1;1;1;5;1
20090228100000;47.1333;-0.15;7;1;1;1;1;1;35;1;1;1;5;1
20090206195500;47.2667;-0.083333;7;1;1;3;1;1;48;1;1;1;5;1
20090130170000;43.9353;4.32167;7;1;8;1;1;1;29;1;1;1;1;1
20090112083000;44.2333;4.13333;7;1;7;1;2;1;23;1;1;1;2;1
20090110074500;43.8;4.25;7;1;1;2;1;6;71;1;1;1;5;1
20090127051500;45.5;6.91667;14;1;4;3;5;1;40;1;1;1;4;1
20090130234500;45.6333;-0.65;7;1;1;3;1;1;53;1;1;1;5;1
20090223114500;44.2;3.18333;14;1;8;1;2;1;61;1;1;1;4;1
20090130213000;46.5833;0.266667;7;1;1;3;1;1;35;1;1;1;5;1
20090221150000;47.2833;1.33333;7;1;1;1;1;5;76;1;3;1;5;1
20090114074500;48.5;6.51667;7;1;9;2;7;1;36;1;1;1;1;1
20090114074500;48.5;6.51667;10;1;9;2;7;1;56;1;1;1;1;1
20090128164500;48.6833;5.85;7;1;1;1;1;3;86;1;1;1;9;1
20090128164500;48.6833;5.85;7;1;1;1;1;3;13;3;1;1;9;1
20090206181500;48.65;6.18333;7;1;8;2;2;1;30;1;1;1;5;1
20090212073000;45.1833;4.18333;10;1;1;2;2;1;38;1;3;1;4;1
20090109174500;49.1667;4.01667;7;1;8;3;2;1;26;1;1;1;1;1
20090202114500;48.7667;0.816667;7;1;4;1;5;1;37;1;1;1;4;1
20090227110000;46.1833;-1.06667;7;1;1;1;1;1;64;1;1;1;5;1
20090108003000;46.15;6.41667;7;1;9;3;9;1;33;1;1;1;5;1
20090108003000;46.15;6.41667;7;1;9;3;9;1;50;1;1;1;5;1
20090316070000;45.15;3.53333;15;1;1;1;1;1;24;1;1;1;4;1
20090320171500;45.05;4.03333;7;1;1;1;1;1;27;1;3;1;5;1
20090320171500;45.05;4.03333;7;1;1;1;1;1;71;1;1;1;5;1
20090311193000;46.6167;0.433333;7;1;1;3;1;1;22;1;1;1;5;1
20090206171500;45.1333;0.85;33;1;2;1;8;1;40;1;2;1;4;1
20090213143000;45.25;1.15;7;1;1;1;1;1;22;1;1;1;9;1
20090118180000;48.0589;5.05695;7;1;4;3;2;1;29;1;1;1;5;1
20090212184500;46.3333;6.68333;7;1;4;3;5;1;43;1;1;1;1;1
20090228155000;46.0;6.0;7;1;1;1;1;1;19;1;1;1;5;1
20090228160000;43.9;2.0;7;1;1;1;1;1;50;1;1;1;5;1
20090209075500;48.9583;4.36667;10;1;1;2;1;1;35;1;1;1;1;1
20090118210000;47.3667;5.15;7;1;9;3;7;1;44;1;1;1;5;1
20090118210000;47.3667;5.15;7;1;9;3;7;1;23;1;1;1;5;1
20090126140000;47.1167;5.05;15;1;9;1;9;1;59;1;1;1;1;1
20090114200000;47.25;5.15;7;1;2;3;2;1;52;1;1;1;1;1
20090127181500;43.6167;3.73333;7;1;1;3;1;1;27;1;1;1;1;1
20090111153000;43.8333;3.91667;7;1;7;1;1;1;71;1;1;1;5;1
20090128194500;43.4167;3.3;7;1;1;3;1;1;23;1;4;1;5;1
20090111084500;43.65;3.55;7;1;1;1;1;9;49;1;1;1;5;1
20090104160000;43.3;3.41667;7;1;1;1;1;1;48;1;1;1;5;1
20090202123000;48.6333;4.95;7;1;2;1;2;1;61;1;1;1;5;1
20090202123000;48.6333;4.95;7;1;2;1;2;1;36;2;1;1;1;1
20090116194500;43.6667;1.48333;7;1;1;5;1;3;56;1;1;1;5;1
20090107064500;47.7833;-3.41667;17;1;1;3;1;1;25;1;1;1;4;1
20090130183000;47.6833;-2.55;7;1;1;2;1;1;56;1;1;1;5;1
20090105104500;47.5333;-2.76667;7;1;2;1;7;1;58;1;1;1;5;1
20090105104500;47.5333;-2.76667;10;1;2;1;7;1;27;1;1;1;4;1
20090222061500;47.5333;-1.88333;10;1;1;3;1;1;36;1;1;1;4;1
20090221180000;47.1667;-1.26667;21;1;1;1;1;1;41;1;1;1;4;1
20090225164500;47.6333;-2.13333;17;1;1;1;1;1;50;1;1;1;4;1
20090131191500;45.3833;1.36667;7;1;1;5;1;1;44;1;1;1;3;1
20090225163000;45.3167;1.76667;7;1;1;1;1;3;25;1;1;1;5;1
20090331140500;47.2667;-0.083333;10;1;1;1;1;1;50;1;1;1;4;1
20090323181500;44.2;4.15;7;1;1;1;1;1;46;1;1;1;1;1
20090109091500;48.4167;4.58333;15;1;8;1;7;1;53;1;1;1;4;1
20090225174500;48.4;4.46667;13;1;1;1;1;1;26;1;1;1;4;1
20090225174500;48.4;4.46667;13;1;1;1;1;1;24;2;1;1;4;1
20090212075000;48.4333;3.75;7;1;4;2;5;1;23;1;1;1;1;1
20090310190000;48.3667;3.53333;7;1;2;3;2;1;3;5;4;1;5;1
20090310190000;48.3667;3.53333;7;1;2;3;2;1;26;4;1;1;5;1
20090310190000;48.3667;3.53333;7;1;2;3;2;1;28;2;1;1;5;1
20090310190000;48.3667;3.53333;7;1;2;3;2;1;24;5;1;1;5;1
20090310190000;48.3667;3.53333;7;1;2;3;2;1;27;5;1;1;5;1
20090310190000;48.3667;3.53333;10;1;2;3;2;1;48;1;1;1;4;1
20090323181500;48.3333;4.7;7;1;1;1;1;1;50;1;1;1;1;1
20090319184500;48.2333;4.61667;7;1;1;1;1;1;30;1;1;1;9;1
20090309200000;48.2667;4.1;7;1;1;3;1;1;34;1;1;1;5;1
20090307034500;49.85;2.63333;7;1;1;3;1;1;20;1;1;1;5;1
20090308201500;46.9;-0.333333;7;1;2;3;2;1;22;1;1;1;5;1
20090307194000;43.1;5.88333;7;1;1;3;1;1;30;1;1;1;5;1
20090102105000;46.3167;2.26667;17;1;1;1;1;3;29;1;1;1;4;1
20090110184500;46.1667;2.01667;7;1;1;3;1;1;61;1;1;1;5;1
20090209141500;42.6333;2.75;10;1;1;1;1;1;26;1;1;1;4;1
20090222153000;42.4667;1.93333;7;1;1;1;1;1;57;1;1;1;1;1
20090228174500;42.5833;2.11667;7;1;1;1;1;1;22;1;1;1;5;1
20090326073000;48.75;3.98333;14;1;1;2;1;1;45;1;1;1;4;1
20090322154500;49.0167;4.41667;7;1;1;1;1;1;24;1;1;1;5;1
20090220191500;43.6833;1.4;7;1;1;5;1;1;29;1;1;1;1;1
20090301111500;49.1667;2.68333;7;1;1;1;1;1;36;2;1;1;5;1
20090301111500;49.1667;2.68333;7;1;1;1;1;1;49;1;1;1;5;1
20090325094500;49.3833;2.58333;15;1;2;1;2;2;47;1;1;1;4;1
20090328130000;42.55;1.83333;7;1;4;1;2;1;21;1;1;1;5;1
20090205151500;46.8667;-1.1;7;1;1;1;1;1;37;1;1;1;4;1
20090308190000;46.5833;-1.51667;7;1;1;3;1;1;25;1;1;1;5;1
20090309161600;46.6667;-1.43333;7;1;1;1;1;1;8;3;1;1;5;1
20090309161600;46.6667;-1.43333;7;1;1;1;1;1;40;1;1;1;5;1
20090417170000;46.6167;-1.25;15;1;1;1;1;1;41;1;1;1;4;1
20090426050000;46.7833;-2.06667;7;1;1;3;1;1;39;1;1;1;5;1
20090426050000;46.7833;-2.06667;7;1;1;3;1;1;42;1;1;1;1;1
20090128103000;48.4667;7.71667;17;1;5;1;1;1;44;1;1;1;4;1
20090128103000;48.4667;7.71667;7;1;5;1;1;1;73;2;1;1;3;1
20090123093000;44.3833;0.316667;7;1;2;1;2;2;76;1;1;1;5;1
20090215150000;44.5;1.13333;7;1;1;1;1;3;43;1;1;1;5;1
20090215150000;44.5;1.13333;7;1;1;1;1;3;27;1;1;1;5;1
20090327140000;48.0667;-0.933333;14;1;6;1;1;1;32;1;1;1;4;1
20090318173000;48.0667;-0.633333;7;1;1;1;1;1;27;1;1;1;4;1
20090115103000;46.9833;5.61667;7;1;5;1;1;1;38;1;1;1;4;1
20090319183000;47.15;5.63333;14;1;1;1;1;1;47;1;1;1;4;1
20090325203500;47.1;5.5;7;1;1;3;1;1;35;1;1;1;1;1
20090115163000;47.7333;3.4;7;1;1;1;1;1;23;1;1;1;2;1
20090115163000;47.7333;3.4;38;1;1;1;1;1;28;1;4;1;4;1
20090313061500;43.1333;-0.466667;15;1;1;3;1;1;38;1;1;1;4;1
20090328133000;43.35;-1.55;7;1;3;1;2;1;32;1;1;1;9;1
20090217084500;44.5;0.166667;7;1;1;1;1;1;38;1;1;1;4;1
20090313140000;43.9333;2.85;14;1;1;1;1;1;60;1;1;1;4;1
20090328131500;44.4;2.03333;7;1;8;1;8;1;26;1;1;1;5;1
20090105153000;50.7;3.16667;7;1;8;1;1;2;30;1;3;1;9;1
20090129164000;50.7;2.83333;7;1;1;1;1;3;23;1;1;1;1;1
20090213180000;50.7;3.21667;7;1;1;5;1;1;51;1;3;1;9;1
20090205164500;50.6667;3.15;7;1;1;1;1;1;27;1;3;1;9;1
20090429134000;43.3583;-1.775;7;1;3;1;2;1;67;1;1;1;5;1
20090429190000;46.6833;-0.25;7;1;1;1;1;1;35;1;1;1;5;1
20090429190000;46.6833;-0.25;7;1;1;1;1;1;36;1;1;1;5;1
20090213083000;48.5167;0.533333;14;1;2;2;2;1;47;1;1;1;4;1
20090116190000;45.1167;5.7;10;1;1;3;1;9;25;1;1;1;5;1
20090127201500;45.6333;5.15;7;1;1;3;1;1;66;1;1;1;1;1
20090205193000;44.9667;5.7;17;1;3;3;2;1;46;1;1;1;4;1
20090418214500;47.3333;-0.183333;7;1;1;3;1;1;33;1;1;1;5;1
20090402121500;42.9923;-0.0730556;7;1;1;1;1;1;41;1;1;1;3;1
20090129093000;43.5312;0.844722;10;1;5;1;2;1;37;1;1;1;4;1
20090422141500;44.0667;2.98333;7;1;1;1;1;1;71;1;1;1;5;1
20090424001500;44.3667;0.15;7;1;1;3;1;2;27;1;1;1;5;1
20090430171500;44.2333;0.683333;7;1;2;1;2;1;19;1;1;1;2;1
20090430171500;44.2333;0.683333;7;1;2;1;2;1;17;4;1;1;2;1
20090430171500;44.2333;0.683333;7;1;2;1;2;1;19;2;1;1;2;1
20090216080000;45.6333;5.9;7;1;1;1;1;4;27;1;1;1;1;1
20090213164500;45.2667;6.33333;10;1;7;1;1;1;26;1;1;1;1;1
20090222161500;45.2464;6.30251;7;1;4;1;7;1;21;1;1;1;5;1
20090317113000;45.7;5.83333;14;1;1;1;1;1;38;1;1;1;4;1
20090318171500;45.7167;5.95;7;1;1;1;1;1;32;1;1;1;1;1
20090301200000;45.7167;-0.583333;7;1;1;3;1;1;26;1;1;1;5;1
20090316153000;46.0333;-0.833333;14;1;1;1;1;1;40;1;1;1;4;1
20090406130000;47.7833;7.0;10;1;1;1;1;1;21;1;1;1;4;1
20090419150000;47.4667;7.36667;7;1;1;1;1;1;76;1;1;1;5;1
